Date,Day_of_Week,Foot_Traffic_Index,Actual_Muffin_Demand
2024-09-01,Sunday,Medium,178
2024-09-02,Monday,Medium,182
2024-09-03,Tuesday,Low,148
2024-09-04,Wednesday,Medium,183
2024-09-05,Thursday,Medium,184
2024-09-06,Friday,Medium,182
2024-09-07,Saturday,Low,149
2024-09-08,Sunday,Very High,212
2024-09-09,Monday,High,194
2024-09-10,Tuesday,Medium,172
2024-09-11,Wednesday,Medium,181
2024-09-12,Thursday,Medium,169
2024-09-13,Friday,Medium,169
2024-09-14,Saturday,High,196
2024-09-15,Sunday,Very High,215
2024-09-16,Monday,Medium,171
2024-09-17,Tuesday,High,194
2024-09-18,Wednesday,Medium,171
2024-09-19,Thursday,Medium,175
2024-09-20,Friday,Medium,185
2024-09-21,Saturday,Medium,180
2024-09-22,Sunday,Low,152
2024-09-23,Monday,Medium,181
2024-09-24,Tuesday,Very High,208
2024-09-25,Wednesday,Very High,204
2024-09-26,Thursday,Medium,169
2024-09-27,Friday,High,198
2024-09-28,Saturday,Very High,201
2024-09-29,Sunday,Low,149
2024-09-30,Monday,Medium,181
2024-10-01,Tuesday,Medium,170
2024-10-02,Wednesday,High,196
2024-10-03,Thursday,High,191
2024-10-04,Friday,Low,151
2024-10-05,Saturday,High,190
2024-10-06,Sunday,Medium,173
2024-10-07,Monday,High,189
2024-10-08,Tuesday,Medium,174
2024-10-09,Wednesday,Low,148
2024-10-10,Thursday,Medium,168
2024-10-11,Friday,Medium,174
2024-10-12,Saturday,Medium,181
2024-10-13,Sunday,Very High,211
2024-10-14,Monday,High,198
2024-10-15,Tuesday,Low,151
2024-10-16,Wednesday,Medium,180
2024-10-17,Thursday,Medium,182
2024-10-18,Friday,Very High,213
2024-10-19,Saturday,Low,150
2024-10-20,Sunday,Medium,175
2024-10-21,Monday,Medium,185
2024-10-22,Tuesday,Low,151
2024-10-23,Wednesday,Medium,171
2024-10-24,Thursday,Medium,181
2024-10-25,Friday,Medium,182
2024-10-26,Saturday,Medium,183
2024-10-27,Sunday,Medium,183
2024-10-28,Monday,Medium,173
2024-10-29,Tuesday,Low,149
2024-10-30,Wednesday,High,192
2024-10-31,Thursday,Medium,169
2024-11-01,Friday,High,195
2024-11-02,Saturday,Medium,181
2024-11-03,Sunday,High,191
2024-11-04,Monday,High,193
2024-11-05,Tuesday,Medium,179
2024-11-06,Wednesday,Very High,203
2024-11-07,Thursday,Medium,170
2024-11-08,Friday,High,193
2024-11-09,Saturday,Medium,174
2024-11-10,Sunday,Low,151
2024-11-11,Monday,High,192
2024-11-12,Tuesday,Medium,174
2024-11-13,Wednesday,Medium,184
2024-11-14,Thursday,Medium,173
2024-11-15,Friday,Low,149
2024-11-16,Saturday,Medium,182
2024-11-17,Sunday,Very High,202
2024-11-18,Monday,Medium,183
2024-11-19,Tuesday,Medium,169
2024-11-20,Wednesday,High,190
2024-11-21,Thursday,Medium,179
2024-11-22,Friday,Medium,172
2024-11-23,Saturday,Medium,178
2024-11-24,Sunday,Low,148
2024-11-25,Monday,Low,148
2024-11-26,Tuesday,High,188
2024-11-27,Wednesday,Medium,173
2024-11-28,Thursday,Medium,183
2024-11-29,Friday,Medium,179
2024-11-30,Saturday,Very High,207
2024-12-01,Sunday,Medium,181
2024-12-02,Monday,Medium,179
2024-12-03,Tuesday,Low,154
2024-12-04,Wednesday,High,197
2024-12-05,Thursday,Medium,180
2024-12-06,Friday,High,191
2024-12-07,Saturday,Medium,168
2024-12-08,Sunday,High,195
2024-12-09,Monday,Medium,172
