Date,Actual_Patient_Demand,Weather_Impact,Marketing_Blast_Sent
2024-10-01,166,Cloudy,No
2024-10-02,170,Cloudy,No
2024-10-03,188,Sunny,Yes
2024-10-04,171,Cloudy,No
2024-10-05,202,Sunny,Yes
2024-10-06,165,Cloudy,No
2024-10-07,188,Sunny,Yes
2024-10-08,182,Sunny,No
2024-10-09,182,Sunny,No
2024-10-10,189,Sunny,Yes
2024-10-11,176,Sunny,No
2024-10-12,175,Sunny,No
2024-10-13,181,Sunny,No
2024-10-14,181,Sunny,No
2024-10-15,172,Cloudy,No
2024-10-16,194,Sunny,Yes
2024-10-17,148,Rain,No
2024-10-18,182,Sunny,No
2024-10-19,175,Sunny,No
2024-10-20,183,Sunny,No
2024-10-21,178,Sunny,No
2024-10-22,168,Cloudy,No
2024-10-23,171,Cloudy,No
2024-10-24,209,Sunny,Yes
2024-10-25,181,Sunny,No
2024-10-26,173,Cloudy,No
2024-10-27,165,Cloudy,No
2024-10-28,146,Rain,No
2024-10-29,166,Cloudy,No
2024-10-30,188,Sunny,Yes
2024-10-31,176,Sunny,No
2024-11-01,193,Sunny,Yes
2024-11-02,154,Rain,No
2024-11-03,152,Rain,No
2024-11-04,194,Sunny,Yes
2024-11-05,168,Cloudy,No
2024-11-06,189,Sunny,Yes
2024-11-07,169,Cloudy,No
2024-11-08,168,Cloudy,No
2024-11-09,146,Rain,No
2024-11-10,182,Sunny,No
2024-11-11,177,Sunny,No
2024-11-12,208,Sunny,Yes
2024-11-13,179,Sunny,No
2024-11-14,148,Rain,No
2024-11-15,147,Rain,No
2024-11-16,190,Sunny,Yes
2024-11-17,189,Sunny,Yes
2024-11-18,188,Sunny,Yes
2024-11-19,152,Rain,No
2024-11-20,154,Rain,No
2024-11-21,177,Sunny,No
2024-11-22,189,Sunny,Yes
2024-11-23,167,Cloudy,No
2024-11-24,189,Sunny,Yes
2024-11-25,175,Sunny,No
2024-11-26,202,Sunny,Yes
2024-11-27,185,Sunny,No
2024-11-28,179,Sunny,No
2024-11-29,175,Cloudy,No
2024-11-30,175,Sunny,No
2024-12-01,177,Sunny,No
2024-12-02,188,Sunny,Yes
2024-12-03,208,Sunny,Yes
2024-12-04,167,Cloudy,No
2024-12-05,175,Cloudy,No
2024-12-06,201,Sunny,Yes
2024-12-07,150,Rain,No
2024-12-08,191,Sunny,Yes
2024-12-09,172,Cloudy,No
2024-12-10,151,Rain,No
2024-12-11,195,Sunny,Yes
2024-12-12,188,Sunny,Yes
2024-12-13,203,Sunny,Yes
2024-12-14,178,Sunny,No
2024-12-15,200,Sunny,Yes
2024-12-16,178,Sunny,No
2024-12-17,181,Sunny,No
2024-12-18,175,Cloudy,No
2024-12-19,172,Cloudy,No
2024-12-20,178,Sunny,No
2024-12-21,172,Cloudy,No
2024-12-22,151,Rain,No
2024-12-23,183,Sunny,No
2024-12-24,171,Cloudy,No
2024-12-25,171,Cloudy,No
2024-12-26,185,Sunny,No
2024-12-27,168,Cloudy,No
2024-12-28,179,Sunny,No
2024-12-29,201,Sunny,Yes
2024-12-30,155,Rain,No
2024-12-31,193,Sunny,Yes
2025-01-01,190,Sunny,Yes
2025-01-02,204,Sunny,Yes
2025-01-03,153,Rain,No
2025-01-04,148,Rain,No
2025-01-05,183,Sunny,No
2025-01-06,181,Sunny,No
2025-01-07,166,Cloudy,No
2025-01-08,191,Sunny,Yes
