Product,Region,Salesperson,Units Sold,Unit Price,Total Revenue
Pro Laptop,West,Johnson,3,1078.56,3235.68
Ultra Widget,East,Johnson,11,76.25,838.75
Basic Cable,North,Miller,158,5.01,791.58
Ultra Widget,East,Miller,26,37.93,986.18
Basic Cable,West,Jones,62,10.18,631.16
Ultra Widget,East,Jones,13,73.27,952.51
Basic Cable,North,Brown,95,13.97,1327.15
Pro Laptop,North,Smith,1,885.64,885.64
Smart Fan,South,Miller,28,148.0,4144.0
Basic Cable,East,Johnson,81,9.67,783.27
Pro Laptop,North,Brown,4,884.71,3538.84
Basic Cable,West,Brown,146,10.19,1487.74
Eco Bulb,North,Jones,37,109.6,4055.2
Basic Cable,North,Johnson,171,10.46,1788.66
Smart Fan,West,Smith,10,49.71,497.1
Eco Bulb,West,Johnson,29,21.08,611.32
Smart Fan,South,Brown,28,127.39,3566.92
Ultra Widget,North,Johnson,28,89.72,2512.16
Smart Fan,East,Johnson,41,23.29,954.89
Eco Bulb,West,Williams,44,43.26,1903.44
Basic Cable,North,Smith,133,13.91,1850.03
Basic Cable,East,Davis,132,5.61,740.52
Eco Bulb,South,Brown,34,142.85,4856.9
Basic Cable,North,Brown,193,8.13,1569.09
Eco Bulb,North,Smith,31,64.83,2009.73
Ultra Widget,East,Wilson,42,72.92,3062.64
Ultra Widget,West,Smith,44,51.68,2273.92
Eco Bulb,South,Jones,31,58.32,1807.92
Smart Fan,West,Smith,33,74.93,2472.69
Smart Fan,East,Davis,42,23.77,998.34
Eco Bulb,East,Davis,16,49.6,793.6
Pro Laptop,South,Miller,4,952.26,3809.04
Eco Bulb,North,Jones,24,100.42,2410.08
Eco Bulb,West,Davis,36,140.95,5074.2
Basic Cable,South,Brown,72,9.83,707.76
Basic Cable,West,Davis,125,9.77,1221.25
Eco Bulb,East,Davis,39,114.62,4470.18
Ultra Widget,South,Wilson,22,105.85,2328.7
Basic Cable,South,Davis,155,12.76,1977.8
Smart Fan,West,Jones,35,69.23,2423.05
Basic Cable,North,Davis,148,11.95,1768.6
Pro Laptop,West,Miller,2,1176.22,2352.44
Eco Bulb,North,Williams,26,58.2,1513.2
Pro Laptop,North,Williams,3,903.79,2711.37
Ultra Widget,South,Williams,33,51.69,1705.77
Eco Bulb,South,Jones,22,140.26,3085.72
Basic Cable,West,Williams,162,9.34,1513.08
Smart Fan,East,Miller,29,47.21,1369.09
Pro Laptop,West,Wilson,2,956.38,1912.76
Ultra Widget,South,Wilson,14,142.24,1991.36
Basic Cable,East,Wilson,156,8.24,1285.44
Ultra Widget,West,Williams,40,128.75,5150.0
Ultra Widget,East,Brown,49,107.95,5289.55
Basic Cable,East,Davis,54,11.81,637.74
Basic Cable,North,Davis,122,6.83,833.26
Pro Laptop,West,Brown,2,1177.44,2354.88
Basic Cable,East,Brown,88,12.59,1107.92
Eco Bulb,East,Johnson,29,71.21,2065.09
Ultra Widget,North,Davis,18,47.59,856.62
Pro Laptop,South,Davis,3,1064.58,3193.74
Pro Laptop,East,Miller,5,907.6,4538.0
Pro Laptop,North,Miller,3,900.39,2701.17
Smart Fan,West,Jones,15,129.97,1949.55
Ultra Widget,South,Smith,33,52.78,1741.74
Smart Fan,East,Brown,49,95.49,4679.01
Smart Fan,East,Jones,13,123.03,1599.39
Smart Fan,East,Williams,13,89.48,1163.24
Eco Bulb,South,Davis,14,81.65,1143.1
Basic Cable,North,Smith,187,10.13,1894.31
Ultra Widget,North,Smith,35,26.93,942.55
Pro Laptop,West,Brown,3,865.79,2597.37
Eco Bulb,East,Davis,46,145.99,6715.54
Smart Fan,South,Brown,40,97.46,3898.4
Ultra Widget,East,Davis,20,49.98,999.6
Smart Fan,South,Johnson,44,96.79,4258.76
Pro Laptop,North,Smith,1,936.36,936.36
Pro Laptop,North,Davis,1,969.18,969.18
Smart Fan,West,Jones,38,42.27,1606.26
Ultra Widget,East,Williams,34,77.01,2618.34
Basic Cable,North,Johnson,112,8.03,899.36
Ultra Widget,North,Williams,16,54.87,877.92
Smart Fan,North,Wilson,50,44.27,2213.5
Eco Bulb,South,Brown,24,45.03,1080.72
Pro Laptop,East,Williams,4,1041.69,4166.76
Eco Bulb,West,Miller,39,118.52,4622.28
Eco Bulb,South,Wilson,11,106.55,1172.05
Ultra Widget,East,Wilson,30,138.74,4162.2
Basic Cable,South,Miller,90,6.53,587.7
Eco Bulb,North,Williams,24,62.06,1489.44
Eco Bulb,East,Smith,36,65.23,2348.28
Ultra Widget,North,Davis,32,128.83,4122.56
Pro Laptop,East,Williams,5,1018.79,5093.95
Pro Laptop,West,Smith,2,905.09,1810.18
Eco Bulb,South,Wilson,46,40.05,1842.3
Pro Laptop,South,Johnson,3,1127.34,3382.02
Basic Cable,East,Johnson,58,14.19,823.02
Smart Fan,North,Johnson,16,86.81,1388.96
Eco Bulb,North,Johnson,42,39.17,1645.14
Basic Cable,West,Miller,200,12.57,2514.0
Basic Cable,East,Johnson,730,6.89,5029.7
Pro Laptop,South,Williams,3,939.1,2817.3
Ultra Widget,South,Johnson,18,27.99,503.82
Pro Laptop,North,Wilson,2,1057.84,2115.68
Ultra Widget,South,Miller,45,40.01,1800.45
Basic Cable,South,Jones,194,10.68,2071.92
Basic Cable,South,Miller,190,12.45,2365.5
Eco Bulb,West,Jones,22,143.86,3164.92
Basic Cable,East,Smith,147,13.16,1934.52
Smart Fan,South,Williams,11,94.44,1038.84
Ultra Widget,East,Davis,44,43.68,1921.92
Basic Cable,North,Johnson,171,13.89,2375.19
Eco Bulb,East,Williams,13,148.28,1927.64
Smart Fan,West,Smith,12,59.73,716.76
Basic Cable,East,Jones,86,7.05,606.3
Smart Fan,West,Wilson,13,91.78,1193.14
Eco Bulb,North,Davis,41,122.84,5036.44
Smart Fan,West,Williams,40,38.92,1556.8
Eco Bulb,East,Johnson,13,117.9,1532.7
Basic Cable,North,Brown,183,11.44,2093.52
Eco Bulb,West,Johnson,17,53.08,902.36
Ultra Widget,East,Williams,20,22.81,456.2
Ultra Widget,South,Johnson,32,30.18,965.76
Ultra Widget,West,Davis,48,69.83,3351.84
Pro Laptop,East,Williams,4,1107.1,4428.4
Basic Cable,South,Brown,130,6.03,783.9
Eco Bulb,West,Brown,28,43.47,1217.16
Ultra Widget,West,Davis,16,56.59,905.44
Smart Fan,North,Davis,39,63.58,2479.62
Pro Laptop,East,Smith,3,934.0,2802.0
Eco Bulb,North,Jones,47,90.26,4242.22
Pro Laptop,North,Brown,2,1011.35,2022.7
Basic Cable,West,Brown,66,6.46,426.36
Ultra Widget,East,Smith,15,72.93,1093.95
Pro Laptop,North,Smith,5,851.06,4255.3
Basic Cable,East,Johnson,158,10.39,1641.62
Pro Laptop,South,Brown,5,1171.78,5858.9
Ultra Widget,North,Williams,15,21.26,318.9
Pro Laptop,East,Williams,3,1156.92,3470.76
Smart Fan,North,Jones,45,69.93,3146.85
Eco Bulb,South,Smith,42,66.84,2807.28
Ultra Widget,East,Johnson,32,111.75,3576.0
Pro Laptop,East,Wilson,2,1155.17,2310.34
Eco Bulb,East,Johnson,37,57.15,2114.55
Basic Cable,East,Smith,186,11.1,2064.6
Smart Fan,East,Davis,36,108.28,3898.08
Ultra Widget,East,Davis,16,103.4,1654.4
Eco Bulb,South,Wilson,32,147.99,4735.68
Eco Bulb,North,Williams,43,109.5,4708.5
Basic Cable,West,Johnson,160,6.22,995.2
Eco Bulb,North,Williams,16,114.6,1833.6
Eco Bulb,West,Jones,17,62.84,1068.28
Pro Laptop,South,Davis,3,830.21,2490.63
Eco Bulb,North,Brown,40,70.59,2823.6
Basic Cable,South,Smith,178,12.05,2144.9
Pro Laptop,West,Smith,4,848.73,3394.92
Basic Cable,South,Smith,139,8.42,1170.38
Smart Fan,North,Wilson,32,21.62,691.84
